"National Provider Number (NPI)"	"Provider Name Prefix"	"First Name of Provider"	"Middle Initial of Provider"	"Last Name of Provider"	"Suffix of Provider"	"Physician / Non-Physician"	"Specialty Type  (area of medicine)"	"Street Address"	"Street Address 2"	"City"	"State"	"County"	"Zip"	"Network IDs"	"FIPS Code"	"ProvDirIND01of0218973IA252D20140722T115902"
"1"	"1535749114"	NA	"GREG"	NA	"ADAMSON"	NA	"Non-Physician"	"011 Dermatology"	"250 W 9TH ST"	NA	"Creighton"	"MO"	"countyb"	"64739"	"NEN001"	"15004"	NA
"2"	"1915770428"	NA	"RANDOLPH"	NA	"JOHNSON"	NA	"Physician"	"017 Infectious Diseases"	"250 W 9TH ST"	NA	"Sterling Heights"	"MI"	"countyb"	"48311"	"NEN001"	"15004"	NA
"3"	"1746143056"	NA	"TRAISURE"	NA	"ADAMSON"	NA	"Non-Physician"	"025 Orthopedic Surgery"	"250 W 9TH ST"	NA	"Houston"	"TX"	"countya"	"77217"	"NEN001"	"13006"	NA
"4"	"1019211120"	NA	"RANDOLPH"	NA	"ACEMAN"	NA	"Non-Physician"	"018 Nephrology"	"250 W 9TH ST"	NA	"Madison"	"AR"	"countyb"	"72359"	"NEN001"	"25002"	NA
"5"	"1344349560"	NA	"TERALIN"	NA	"ABEURISHAL"	NA	"Non-Physician"	"000 OTHER"	"250 W 9TH ST"	NA	"Fpo"	"AP"	"countyb"	"96603"	"MIN003"	"25002"	NA
"6"	"1242328539"	NA	"TERALIN"	NA	"BLAKELY"	NA	"Non-Physician"	"101 Pediatrics"	"250 W 9TH ST"	NA	"Reedy"	"WV"	"countya"	"25270"	"MIN003"	"25002"	NA
"7"	"1561313702"	NA	"GREG"	NA	"ACEMAN"	NA	"Non-Physician"	"018 Nephrology"	"250 W 9TH ST"	NA	"Saxon"	"WV"	"countyb"	"25180"	"NEN001"	"15004"	NA
"8"	"1205772143"	NA	"GREG"	NA	"ABEURISHAL"	NA	"Physician"	"Dental - Endodontist"	"250 W 9TH ST"	NA	"Marcell"	"MN"	"countya"	"56657"	"NEN001"	"13006"	NA
"9"	"1499983652"	NA	"TERALIN"	NA	"ABEURISHAL"	NA	"Physician"	"026 Physical Medicine & Rehabilitation"	"250 W 9TH ST"	NA	"W Hartford"	"CT"	"countyb"	"06107"	"MIN003"	"15004"	NA
"10"	"1684056572"	NA	"GEANA"	NA	"ADAMSON"	NA	"Non-Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"Picacho"	"NM"	"countyb"	"88343"	"MIN003"	"25002"	NA
"11"	"1015703964"	NA	"DARELL"	NA	"ABEURISHAL"	NA	"Physician"	"014 Gastroenterology"	"250 W 9TH ST"	NA	"Baltic"	"OH"	"countya"	"43804"	"MIN003"	"13006"	NA
"12"	"1999075384"	NA	"GREG"	NA	"ABEURISHAL"	NA	"Non-Physician"	"043 Critical Care Services - Intensive Care Units (ICU)"	"250 W 9TH ST"	NA	"Pricedale"	"PA"	"countyb"	"15072"	"NEN001"	"25002"	NA
